Source,Target,Weight
alexgenaud,gmaxwell,1
alexgenaud,laanwj,1
TheBlueMatt,alexwaters,9
TheBlueMatt,keystrike,2
TheBlueMatt,gmaxwell,23
alexwaters,keystrike,1
alexwaters,gmaxwell,1
alexwaters,laanwj,3
keystrike,gmaxwell,2
keystrike,laanwj,3
gmaxwell,laanwj,142
gasteve,dgenr8,1
joric,laanwj,2
lachesis,TheBlueMatt,1
gavinandresen,sgimenez,2
tcatm,alexwaters,3
tril0byte,alexwaters,2
gasteve,jgarzik,1
mburns,Joho68,1
mburns,gavinandresen,1
Joho68,gavinandresen,1
tcatm,sipa,4
tcatm,alexgenaud,1
SameDifference,MeniRosenfeld,1
SameDifference,sneak,1
SameDifference,arsenische,1
SameDifference,jhenninger,1
SameDifference,laanwj,1
MeniRosenfeld,sneak,1
MeniRosenfeld,arsenische,1
MeniRosenfeld,jhenninger,1
MeniRosenfeld,laanwj,2
sneak,arsenische,1
sneak,jhenninger,1
sneak,laanwj,1
arsenische,jhenninger,1
arsenische,laanwj,1
jhenninger,laanwj,1
gavinandresen,frenkel,1
TheBlueMatt,ghost,7
TheBlueMatt,bitcoineer,1
ghost,bitcoineer,1
ghost,alexwaters,1
bitcoineer,alexwaters,1
vrotaru,wolfnoliir,1
vrotaru,nacnemo,1
vrotaru,skriticos,1
vrotaru,develop7,1
vrotaru,isaacwaldron,1
vrotaru,diara628,1
vrotaru,TheBlueMatt,1
wolfnoliir,nacnemo,1
wolfnoliir,skriticos,1
wolfnoliir,develop7,1
wolfnoliir,isaacwaldron,1
wolfnoliir,diara628,1
wolfnoliir,TheBlueMatt,1
nacnemo,skriticos,1
nacnemo,develop7,1
nacnemo,isaacwaldron,1
nacnemo,diara628,1
nacnemo,TheBlueMatt,1
skriticos,develop7,1
skriticos,isaacwaldron,1
skriticos,diara628,1
skriticos,TheBlueMatt,1
develop7,isaacwaldron,1
develop7,diara628,1
develop7,TheBlueMatt,1
isaacwaldron,diara628,1
isaacwaldron,TheBlueMatt,1
diara628,TheBlueMatt,1
TheBlueMatt,kfogel,1
kfogel,laanwj,1
gavinandresen,Raulo,1
bitphage,laanwj,1
TheBlueMatt,jgarzik,13
zellfaze,laanwj,2
greggrossmeier,jimholt03,1
greggrossmeier,TheBlueMatt,1
greggrossmeier,alexwaters,1
jimholt03,TheBlueMatt,1
jimholt03,alexwaters,1
Plasma,jgarzik,1
Plasma,paveljanik,1
Plasma,laanwj,1
jgarzik,paveljanik,5
paveljanik,laanwj,68
sipa,atum,1
atum,enterprisey,1
atum,laanwj,1
TheBlueMatt,tcatm,5
gavinandresen,AEtherSurfer,1
gavinandresen,freewil,2
AEtherSurfer,freewil,1
TheBlueMatt,sneak,1
TheBlueMatt,jrmithdobbs,1
TheBlueMatt,davidljung,1
TheBlueMatt,hartrock,1
TheBlueMatt,sgimenez,1
sneak,jrmithdobbs,1
sneak,davidljung,1
sneak,hartrock,1
sneak,sgimenez,1
sneak,sipa,1
sneak,gavinandresen,1
jrmithdobbs,davidljung,1
jrmithdobbs,hartrock,1
jrmithdobbs,sgimenez,1
jrmithdobbs,sipa,2
jrmithdobbs,gavinandresen,2
davidljung,hartrock,1
davidljung,sgimenez,1
davidljung,sipa,1
davidljung,gavinandresen,1
hartrock,sgimenez,1
hartrock,sipa,1
hartrock,gavinandresen,1
sgimenez,sipa,1
nanotube,sgornick,1
nanotube,ripper234,1
nanotube,interfect,1
nanotube,CAFxX,1
nanotube,bbot,1
nanotube,vragnaroda,1
nanotube,gmaxwell,1
nanotube,jgarzik,1
nanotube,bhattnaval,1
sgornick,ripper234,1
sgornick,interfect,1
sgornick,CAFxX,1
sgornick,bbot,1
sgornick,vragnaroda,1
sgornick,jgarzik,1
sgornick,bhattnaval,1
ripper234,interfect,1
ripper234,CAFxX,1
ripper234,bbot,1
ripper234,vragnaroda,1
ripper234,gmaxwell,2
ripper234,jgarzik,1
ripper234,bhattnaval,1
interfect,CAFxX,1
interfect,bbot,1
interfect,vragnaroda,1
interfect,gmaxwell,1
interfect,jgarzik,1
interfect,bhattnaval,1
CAFxX,bbot,1
CAFxX,vragnaroda,1
CAFxX,gmaxwell,1
CAFxX,jgarzik,1
