issue_id,request_by,approved_by,merged_by
#18888,MarcoFalke,,MarcoFalke
#18887,vasild,,laanwj
#18885,MarcoFalke,hebasto,MarcoFalke
#18883,hebasto,,
#18881,hebasto,MarcoFalke|ryanofsky,MarcoFalke
#18880,luke-jr,,
#18879,fanquake,,MarcoFalke
#18878,ryanofsky,MarcoFalke,laanwj
#18877,jnewbery,fjahr|theStack,MarcoFalke
#18875,MarcoFalke,,MarcoFalke
#18873,MarcoFalke,,laanwj
#18871,brakmic,,
#18867,practicalswift,MarcoFalke,MarcoFalke
#18866,MarcoFalke,,MarcoFalke
#18864,Sjors,MarcoFalke|MarcoFalke,MarcoFalke
#18862,fanquake,,laanwj
#18861,sipa,,fanquake
#18859,practicalswift,hebasto,MarcoFalke
#18855,achow101,,MarcoFalke
#18854,MarcoFalke,hebasto,laanwj
#18853,MarcoFalke,,laanwj
#18851,laanwj,,
#18848,jb55,,
#18844,achow101,,
#18843,vasild,,laanwj
#18841,sarojgithubb,,
#18840,MarcoFalke,,
#18839,MarcoFalke,,MarcoFalke
#18837,kadri117,,
#18830,brakmic,kristapsk,
#18829,MarcoFalke,,MarcoFalke
#18828,MarcoFalke,Sjors,MarcoFalke
#18827,brakmic,luke-jr,
#18826,rvagg,MarcoFalke,MarcoFalke
#18825,fanquake,,MarcoFalke
#18820,dongcarl,hebasto|ryanofsky,fanquake
#18814,promag,ryanofsky,fanquake
#18813,bttd,,
#18812,xagau,,
#18810,chrisabrams,,laanwj
#18809,MarcoFalke,,MarcoFalke
#18808,jnewbery,luke-jr,fanquake
#18807,amitiuttarwar,MarcoFalke,MarcoFalke
#18806,theStack,,fanquake
#18805,achow101,,MarcoFalke
#18799,MarcoFalke,,MarcoFalke
#18798,hebasto,,MarcoFalke
#18796,fanquake,,laanwj
#18793,nickycutesc,,
#18792,MarcoFalke,fanquake,fanquake
#18791,promag,,
#18787,achow101,Sjors,meshcollider
#18786,MarcoFalke,hebasto,laanwj
#18785,ryanofsky,MarcoFalke,MarcoFalke
#18783,practicalswift,MarcoFalke|vasild,MarcoFalke
#18782,practicalswift,,meshcollider
#18781,MarcoFalke,hebasto,MarcoFalke
#18780,fanquake,MarcoFalke|ajtowns|MarcoFalke,fanquake
#18779,fanquake,,fanquake
#18778,MarcoFalke,hebasto,MarcoFalke
#18777,MarcoFalke,kristapsk,MarcoFalke
#18775,practicalswift,MarcoFalke,MarcoFalke
#18774,brakmic,MarcoFalke|MarcoFalke|MarcoFalke|MarcoFalke,MarcoFalke
#18770,MarcoFalke,,MarcoFalke
#18769,10xcryptodev,hebasto|hebasto,fanquake
#18765,MarcoFalke,,MarcoFalke
#18764,theStack,,MarcoFalke
#18760,rebroad,narichvirus1,
#18759,MarcoFalke,fanquake,MarcoFalke
#18758,MarcoFalke,hebasto|fanquake,fanquake
#18757,practicalswift,MarcoFalke,MarcoFalke
#18756,theStack,,MarcoFalke
#18754,vasild,MarcoFalke,MarcoFalke
#18753,MarcoFalke,,MarcoFalke
#18752,MarcoFalke,,MarcoFalke
#18751,MarcoFalke,,
#18748,fanquake,hebasto,laanwj
#18745,MarcoFalke,,MarcoFalke
#18744,practicalswift,,MarcoFalke
#18743,ryanofsky,,fanquake
#18742,MarcoFalke,ryanofsky,fanquake
#18741,dongcarl,MarcoFalke,fanquake
#18740,ryanofsky,MarcoFalke,MarcoFalke
#18739,practicalswift,fanquake,MarcoFalke
#18738,hebasto,fanquake,fanquake
#18736,practicalswift,,MarcoFalke
#18735,MarcoFalke,hebasto|hebasto|hebasto,MarcoFalke
#18733,MarcoFalke,,MarcoFalke
#18732,MarcoFalke,,MarcoFalke
#18730,MarcoFalke,,
#18727,ryanofsky,MarcoFalke,MarcoFalke
#18726,robot-visions,theStack,MarcoFalke
#18725,instagibbs,,
#18724,jonatack,,MarcoFalke
#18721,hebasto,,MarcoFalke
#18720,CyberDevAi,,
#18716,CyberDevAi,,
#18714,RandyMcMillan,,
#18713,fanquake,,fanquake
#18712,jonatack,,MarcoFalke
#18709,fanquake,hebasto|hebasto,fanquake
#18705,MarcoFalke,hebasto,MarcoFalke
#18704,MarcoFalke,,MarcoFalke
#18702,fanquake,,laanwj
#18700,meshcollider,,laanwj
#18699,MarcoFalke,hebasto,laanwj
#18698,MarcoFalke,ryanofsky|ryanofsky|ryanofsky|ryanofsky|jamesob|ryanofsky,MarcoFalke
#18695,hebasto,theStack,fanquake
#18692,MarcoFalke,,MarcoFalke
#18691,jonatack,MarcoFalke|MarcoFalke|MarcoFalke,MarcoFalke
#18690,robot-visions,theStack|theStack,MarcoFalke
#18688,MarcoFalke,fanquake,MarcoFalke
#18686,hebasto,,
#18683,MarcoFalke,hebasto,MarcoFalke
#18682,theStack,hebasto,MarcoFalke
#18681,laanwj,,
